Index,X,Y,P
0,435783.152085683,4163044.880699833,947.3978
1,435467.089534922,4163504.009385194,952.5519
2,435920.025685008,4162929.233497055,1024.9949
3,435339.817017015,4163992.298920194,851.0852
4,436232.422455287,4162676.519926517,905.3592
5,436536.009572782,4162299.605994600,1013.9952
6,435245.486131036,4164778.922593932,850.1420
7,436209.448374926,4163040.514647412,890.1685
8,435626.276194314,4164158.509776740,1014.3937
9,435896.875830681,4163613.295739260,928.4345
10,436588.518048071,4162519.993112903,1007.0403
11,436971.102034150,4162232.536028340,895.7854
12,437117.705259977,4162365.237497926,792.2130
13,436776.719354028,4162895.526061017,881.6352
14,436492.994128978,4163757.840797520,977.1414
15,436213.760067071,4164001.283620401,1030.4745
16,435861.264037872,4164589.188151957,891.3440
17,436563.187410919,4163239.234032244,899.6665
18,436987.632942124,4162645.518152125,1029.2508
19,436868.122694899,4163443.177595013,873.4673
20,437263.915661845,4162895.832415530,977.9619
21,436231.166545653,4164960.685755160,822.1880
22,436893.370494000,4163865.219827724,836.3438
23,436658.870316100,4164337.292720845,967.7870
24,437613.900637528,4162818.361997534,857.9740
25,437442.687367093,4163416.267085858,929.5413
26,437980.010944373,4162498.314241705,947.0965
27,436806.715830639,4164916.756671243,811.0531
28,437219.079447018,4164195.959988436,839.6981
29,437144.523390453,4164595.636316988,1003.1076
30,437764.820429006,4163517.968031716,1004.7172
31,437793.265717156,4163793.025670186,841.6589
32,438110.795793956,4162961.921784807,866.4228
33,437690.807831036,4164153.003263904,796.9532
34,437305.768252848,4165077.830525468,747.4087
35,438246.844424647,4163401.452508989,766.8402
36,437633.964291299,4164640.321868674,794.7879
37,438163.548564549,4163851.408081333,863.6705
38,437792.100902870,4165063.632196840,984.4383
39,438776.633511171,4163324.772740041,945.2258
40,438198.848399310,4164571.278721776,1057.5949
41,438729.718923381,4163705.590203717,982.7430
42,438579.863219151,4164420.392279424,941.2940
43,438537.177416368,4164109.891809628,815.1425
